Time(s),CPU_Usage(%),RAM_Usage(MB),GPU_Usage(%),GPU_Memory(MB),Disk_Read(MB/s),Disk_Write(MB/s)
0.001140594482421875,4.5,1095.5390625,0.0,1.0,0.0,0.0
0.5242626667022705,40.2,1186.0,0.0,1.0,0.0,0.0
1.0853691101074219,51.1,1206.33984375,0.0,1.0,0.0,0.0
1.6690123081207275,51.2,1226.76953125,0.0,1.0,0.0,0.0
2.251697063446045,53.5,1231.16015625,0.0,1.0,0.0,0.0
2.808255910873413,47.3,1251.4375,0.0,1.0,0.0,0.0
3.3491058349609375,40.2,1253.765625,0.0,1.0,0.0,0.0
3.8817949295043945,50.6,1237.734375,0.0,1.0,0.0,0.3593207594460806
4.431434631347656,51.3,1243.28125,0.0,1.0,0.0,0.0
5.013468027114868,51.8,1250.484375,0.0,1.0,0.0,0.0
5.599311590194702,13.6,1359.6484375,1.0,1630.0,0.0,0.07334509194589302
6.13031005859375,12.5,1552.27734375,9.0,27317.0,0.0,173.96472023452193
6.654493570327759,12.5,1560.1640625,22.0,27317.0,0.4471239456286657,0.0
7.176425218582153,12.3,1604.19140625,41.0,27645.0,0.0,0.0
7.6979429721832275,12.8,1606.40234375,54.0,27645.0,0.0,0.0
8.219161987304688,12.5,1761.609375,72.0,30401.0,0.0,0.0
8.740582942962646,12.8,1777.8359375,89.0,30401.0,0.0,0.0
9.261751413345337,12.5,1776.7265625,95.0,30401.0,0.0,0.15739871972639677
9.78309941291809,12.5,1776.7265625,96.0,30401.0,0.0,0.07492596122361997
10.3046236038208,12.5,1771.48046875,96.0,30401.0,0.0,0.0
10.826148271560669,12.8,1771.234375,96.0,30401.0,0.0,0.044940347887226714
11.34768795967102,12.7,1768.88671875,98.0,30401.0,0.0,0.0
11.869298696517944,12.5,1769.37890625,98.0,30401.0,0.0,0.0
12.390873432159424,12.5,1759.28125,98.0,30401.0,0.0,0.0
12.912748575210571,12.8,1766.91015625,98.0,30401.0,0.0,0.0
13.434455156326294,12.5,1759.7265625,98.0,30401.0,0.0,0.0
13.956062078475952,12.5,1759.7265625,98.0,30401.0,0.0,0.0
14.477883100509644,12.5,1753.93359375,98.0,30401.0,0.0,0.0
14.999563217163086,13.0,1749.52734375,98.0,30401.0,0.0,0.059902608902304984
15.521497011184692,12.5,1749.01953125,98.0,30401.0,0.0,0.0
16.04294490814209,12.5,1747.61328125,98.0,30401.0,0.0,0.007491160713836655
16.56475567817688,12.5,1745.1328125,98.0,30401.0,0.0,0.022457853829308067
17.086501121520996,12.8,1741.2421875,98.0,30401.0,0.0,0.0
17.608429431915283,12.7,1741.48828125,98.0,30401.0,0.0,0.0
18.13012671470642,12.5,1736.6015625,98.0,30401.0,0.0,0.0
18.651959896087646,12.7,1737.48828125,98.0,30401.0,0.0,0.0
19.173389673233032,12.7,1737.70703125,98.0,30401.0,0.0,0.0
19.69510245323181,12.5,1736.96484375,98.0,30401.0,0.0,0.0
20.216753721237183,12.5,1733.5,98.0,30401.0,0.0,0.0
20.73882794380188,12.8,1747.16796875,98.0,30401.0,0.0,0.0
21.260101318359375,12.5,1746.31640625,98.0,30401.0,0.0,0.0
21.781856536865234,12.5,1744.96484375,98.0,30401.0,0.0,0.007486748309267045
22.30343532562256,12.5,1745.69140625,98.0,30401.0,0.0,0.022467842352102245
22.825394868850708,12.8,1743.03515625,98.0,30401.0,0.0,0.0
23.34689736366272,12.7,1744.95703125,98.0,30401.0,0.0,0.0
23.86856436729431,12.5,1744.953125,98.0,30401.0,0.0,0.0
24.390260696411133,12.5,1740.23046875,98.0,30401.0,0.0,0.0
24.911996603012085,12.5,1729.8984375,98.0,30401.0,0.0,0.0
25.43346619606018,12.3,1738.25390625,98.0,30401.0,0.0,0.0
25.955174207687378,12.5,1738.25390625,98.0,30401.0,0.0,0.0
26.476653814315796,12.5,1734.5,98.0,30401.0,0.0,0.0
26.99831247329712,12.8,1741.16015625,98.0,30401.0,0.0,0.0
27.519843816757202,12.7,1738.85546875,98.0,30401.0,0.0,0.007489962106752989
